txn_id,account_number,name,mobile,pincode,account_product_type,narration,amount,timestamp,label
TXN00085271,789131776040,Tamil,6697403970,600046,Savings,IMPS/706885390271/Wasim,28641,1754927728,0
TXN00109921,431112107468,Dinesh,9925015489,600015,Current,UPI/6898589697/Jobi/683247292499/SBI,4785,1758829490,1
TXN00098793,134548073318,Anand,6157166129,600026,Current,ATM-WDL/ATM00070/Salem,9366,1739310945,1
TXN00079354,130793717396,Elan,7792633163,600063,Savings,WEB-TRF/988942629177/Dinesh,1898,1756106581,0
TXN00066318,778865016186,Brindha,7945608416,600066,Current,WEB-TRF/812964374371/Kavya,3767,1760684668,0
TXN00098312,926052810560,Thenmozhi,7402465524,600032,Current,UPI/9831188786/Priya/279396254676/KOTAK,7536,1762558278,1
TXN00053849,117126387346,Nithya,6443862301,600006,Savings,ATM-WDL/ATM00495/Trichy,25806,1748302253,0
TXN00117325,752149145217,Xavier,8827342192,600075,Current,APP-P2P/9403305498/Xavier/887006603488,9431,1762965781,1
TXN00023407,295036525132,Chethan,9905772799,600095,Current,IMPS/189363746379/Sakthivel,12469,1766777439,0
TXN00086682,580123211589,Padmaja,9658149766,600067,Savings,APP-P2P/6667840357/Priya/731388996621,15842,1764800203,0
TXN00058312,897944693659,Akila,6662524310,600021,Savings,WEB-TRF/937697975482/Deepak,35421,1756282242,0
TXN00010159,891301243066,Ezhilarasi,6411988793,600015,Savings,ATM-WDL/ATM00268/Madurai,7384,1765062996,0
TXN00078560,632311779805,Karthik,9896269606,600095,Current,ATM-WDL/ATM00473/Tirunelveli,11248,1736036407,0
TXN00005916,203756317872,David,9991702638,600088,Current,UPI/6181754369/Rajan/323567956524/ICICI,29037,1760791991,0
TXN00037271,584604411431,Nithya,8654983738,600026,Current,WEB-TRF/420587467081/Ganesh,7225,1743860697,0
TXN00012947,914187036555,Akila,8756296671,600082,Savings,APP-P2P/9477403832/Eswaran/426108820976,47934,1747321560,0
TXN00099094,451020628347,Rajesh,7385989284,600043,Current,IMPS/989350802391/Akila,4801,1753591615,1
TXN00006335,420889653287,Abinaya,6467917280,600027,Savings,IMPS/927072048531/Murugan,48343,1755079726,0
TXN00117576,189436905784,Abinaya,6995361981,600002,Savings,IMPS/355670617698/Abinaya,28458,1744589470,1
TXN00043589,185557523212,Gopi,9664804742,600054,Savings,WEB-TRF/399638633243/Vikram,27836,1756867490,0
TXN00076151,232697721998,Deepak,9614054401,600042,Current,IMPS/726491448016/Kiran,42799,1753716931,0
TXN00016994,186806293329,Anand,9621439578,600007,Savings,WEB-TRF/455708668710/Chitra,2665,1742210814,0
TXN00094536,211483131250,Sakthivel,8568785789,600076,Current,ATM-WDL/ATM00001/Tirunelveli,24505,1738277882,0
TXN00029262,527527306381,Usha,6731268027,600043,Current,ATM-WDL/ATM00262/Vellore,21411,1765524475,0
TXN00113122,615815277495,Abinaya,8415448230,600019,Savings,WEB-TRF/345086507890/Uday,20352,1735810780,1
TXN00056279,451892670194,Meena,7644518647,600067,Current,IMPS/791218221816/Prasad,45778,1740855518,0
TXN00001571,193645179677,Xavier,8379270275,600075,Savings,IMPS/576037958499/Jobi,36352,1761022601,0
TXN00061263,827103456465,Manoj,8522961381,600082,Savings,APP-P2P/9737514090/Eswaran/198165132279,45649,1740908047,0
